"Holdings and weightings as of 5:36 PM ET 05/10/2017",
"Symbol","Company Name","Index Weight","Last","Change","%Change","Volume","52 Week Range",
"JPM","JP Morgan Chase & Co","10.73%","87.43","+0.68","+0.78%","8.33 M","57.05 - 93.98",
"BRK.b","Berkshire Hathaway B","10.69%","163.72","+0.26","+0.16%","3.24 M","136.65 - 177.86",
"WFC","Wells Fargo & Co","8.47%","54.72","+0.04","+0.07%","15.90 M","43.55 - 59.99",
"BAC","Bank of America Corp","8.32%","24.15","+0.17","+0.71%","48.48 M","12.05 - 25.80",
"C","Citigroup Inc","5.75%","60.37","+0.14","+0.23%","11.61 M","38.31 - 62.53",
"GS","Goldman Sachs Group Inc","2.86%","224.88","+1.12","+0.50%","2.63 M","138.20 - 255.15",
"USB","US Bancorp","2.84%","51.97","+0.39","+0.76%","5.28 M","38.48 - 56.61",
"CB","Chubb Limited","2.21%","138.00","+1.68","+1.23%","2.06 M","121.08 - 140.56",
"MS","Morgan Stanley","2.13%","43.10","+0.27","+0.63%","7.37 M","23.11 - 47.33",
"AXP","American Express Co","2.05%","78.65","+0.21","+0.27%","2.40 M","57.15 - 82.00",
"PNC","PNC Finl Services Group","2.05%","122.45","+0.49","+0.40%","1.59 M","77.40 - 131.83",
"AIG","American Intl Group Inc","1.96%","61.37","-0.45","-0.73%","3.96 M","48.41 - 67.47",
"MET","Metlife Inc","1.95%","52.21","-0.10","-0.19%","5.16 M","36.17 - 58.09",
"BK","The Bank of New York Mellon Corp","1.68%","47.16","+0.04","+0.08%","5.01 M","35.72 - 49.54",
"SCHW","Schwab Charles Corp","1.68%","40.15","-0.27","-0.67%","6.33 M","23.83 - 43.65",
"BLK","BlackRock Inc","1.60%","382.27","+1.77","+0.47%","404.86 K","317.60 - 399.46",
"PRU","Prudential Financial Inc","1.60%","108.46","+0.58","+0.54%","1.57 M","66.51 - 114.55",
"CME","CME Group Inc A","1.37%","117.05","-0.59","-0.50%","1.20 M","92.29 - 127.60",
"COF","Capital One Financial","1.35%","81.67","-0.65","-0.79%","2.83 M","58.03 - 96.92",
"MMC","Marsh & McLennan Companies","1.31%","73.79","+0.14","+0.19%","1.15 M","62.33 - 75.52",
"SPGI","S&P Global Inc","1.22%","137.87","+0.56","+0.41%","787.37 K","99.15 - 138.05",
"ICE","Intercontinental Exchange Inc","1.21%","59.00","+0.09","+0.15%","2.44 M","48.15 - 61.98",
"BBT","BB&T Corp","1.20%","43.37","+0.20","+0.46%","2.67 M","32.85 - 49.88",
"TRV","Travelers Cos Inc","1.16%","120.69","+0.74","+0.62%","1.45 M","103.45 - 125.49",
"AON","Aon plc","1.12%","124.09","-0.21","-0.17%","1.49 M","100.55 - 125.37",
